Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, DOUT1, GND1, SCK1",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
AE2,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Chip,
"C1, C11, C13, C14, C2, C26, C30, C31, C33, C34, C4, C5, C6, C7, C8",805,15,100nF,
"C10, C19, C3, C9",805,4,1uF,
"C12, C24, C28, C32, C35",805,5,10uF,
"C15, C16",805,2,10pF,
C17,805,1,1.2pF,
C18,805,1,1.8pF,
"C21, C36",805,2,5uF,
"C25, C29",805,2,2uF,
C27,805,1,4.7uF,
"D1, D3, D4",DIODFN2_98X58X50L26X51N,3,H5VL10B,
"D11, D12, D9",D_SMA,3,SS54,
D7,805,1,RED LED,
D8,805,1,GREEN LED,
"H1, H2, H3",MountingHole_2.7mm_M2.5_ISO7380,3,MountingHole,
L1,805,1,3.3uH,
L2,805,1,2nH,
L3,805,1,2.4nH,
Q1,SOT-23,1,SS8550,
"Q4, Q6",SOT-23,2,AO3401A,
"Q5, Q8",SOT-23,2,MMBT3904,
Q7,SOT-23,1,AO3400A,
"R1, R5",805,2,20K,
"R10, R12, R18, R20, R21, R22, R6, R7, R8, R9",805,10,0R,
"R11, R13, R15, R16, R36, R43, R46",805,7,10K,
"R14, R23",805,2,1K,
"R17, R19",805,2,5K1,
R2,805,1,8.2K,
R26,805,1,1K5,
R27,805,1,22R,
R28,805,1,499R,
"R3, R4, R40",805,3,100R,
R31,805,1,4K7,
R33,805,1,24K,
R34,805,1,47K,
"R35, R38, R41",805,3,100K,
"R37, R42",805,2,30K,
R39,805,1,1M,
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102,
U3,SOP127P600X175-9N,1,TP4056,
U5,SOP-16_3.9x9.9mm_P1.27mm,1,HX711,
U7,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S2,
U8,SOT-23-5,1,TLV75733PDBV,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,
